所管,組織,,,,,,,,,                        項目,令和2年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
,,,41,051,1,20,3,09,,電子計算機借料,"22,762","22,594",168
,,,41,051,1,20,3,09,,工事雑費,"78,500","84,952","△ 6,452"
,,,41,199,1,20,3,09,,自動車重量税,220,170,50
,,,41,051,1,20,5,16,,国家公務員共済組合負担金,"50,880","49,715","1,165"
,,,41,029,1,20,5,16,,国有資産所在市町村交付金,"1,242,386","1,273,759","△ 31,373"
,,,41,051,1,95,9,18,,賠償償還及払戻金,10,10,0
,,109,,,,,,,沖縄道路整備事業工事諸費,,"1,447,000","1,446,000","1,000"
,,,42,052,1,20,1,02,,職員基本給,"389,244","394,211","△ 4,967"
,,,42,052,1,20,1,03,,職員諸手当,"219,827","220,596",△ 769
,,,42,052,1,20,1,04,,超過勤務手当,"81,765","82,417",△ 652
,,,42,052,1,20,1,05,,短時間勤務職員給与,"6,768","6,776",△ 8
,,,42,052,1,20,1,05,,退職手当,"100,734","79,675","21,059"
,,,42,089,1,20,1,05,,児童手当,"10,680","11,390",△ 710
,,,42,052,1,20,9,06,,諸謝金,908,934,△ 26
,,,42,052,1,20,2,08,,職員旅費,"20,212","20,795",△ 583
,,,42,052,1,20,2,08,,日額旅費,"1,637","1,649",△ 12
,,,42,052,1,20,2,08,,赴任旅費,"2,906","2,982",△ 76
,,,42,052,1,20,2,08,,委員等旅費,279,280,△ 1
,,,42,052,1,20,3,09,,庁費,"80,793","80,910",△ 117
,,,42,052,1,20,3,09,,情報処理業務庁費,"86,912","81,775","5,137"
,,,42,052,1,20,3,09,,車両費,"32,259","29,413","2,846"
,,,42,052,1,20,3,09,,広報費,"26,946","27,179",△ 233
,,,42,052,1,20,3,09,,電子計算機借料,"49,485","54,871","△ 5,386"
,,,42,052,1,20,3,09,,用地処理事務費,100,39,61
,,,42,052,1,20,3,09,,工事雑費,"208,211","220,510","△ 12,299"
,,,42,199,1,20,3,09,,自動車重量税,"1,526",886,640
,,,42,052,1,20,5,16,,国家公務員共済組合負担金,"123,973","126,877","△ 2,904"
,,,42,052,1,95,9,18,,賠償償還及払戻金,"1,835","1,835",0
,,104,,,,,,,沖縄港湾空港整備事業工事諸費,,"921,245","986,762","△ 65,517"
,,,43,052,1,20,1,02,,職員基本給,"235,323","268,104","△ 32,781"
,,,43,052,1,20,1,03,,職員諸手当,"164,309","174,895","△ 10,586"
,,,43,052,1,20,1,04,,超過勤務手当,"21,578","28,862","△ 7,284"
,,,43,052,1,20,1,05,,公務災害補償費,350,213,137
,,,43,052,1,20,1,05,,退職手当,"75,984","75,612",372
,,,43,089,1,20,1,05,,児童手当,"6,660","6,190",470
,,,43,052,1,20,9,06,,諸謝金,87,81,6
,,,43,052,1,20,2,08,,職員旅費,"17,634","17,677",△ 43
,,,43,052,1,20,2,08,,日額旅費,"2,061","2,084",△ 23
,,,43,052,1,20,2,08,,赴任旅費,"5,098","6,243","△ 1,145"
,,,43,052,1,20,3,09,,庁費,"58,862","58,866",△ 4
,,,43,052,1,20,3,09,,情報処理業務庁費,"57,940","60,059","△ 2,119"
,,,43,052,1,20,3,09,,車両費,"38,120","39,409","△ 1,289"
,,,43,052,1,20,3,09,,広報費,"13,522","17,480","△ 3,958"
,,,43,052,1,20,3,09,,電子計算機借料,"29,697","29,905",△ 208
,,,43,052,1,20,3,09,,用地処理事務費,109,109,0
,,,43,052,1,20,3,09,,工事雑費,"116,124","114,265","1,859"
,,,43,199,1,20,3,09,,自動車重量税,353,180,173
,,,43,052,1,20,5,16,,国家公務員共済組合負担金,"76,841","85,947","△ 9,106"
,,,43,029,1,20,5,16,,国有資産所在市町村交付金,518,506,12
,,,43,052,1,95,9,18,,賠償償還及払戻金,75,75,0
,,110,,,,,,,沖縄道路環境整備事業工事諸費,,"136,000","138,000","△ 2,000"
,,,44,052,1,20,1,02,,職員基本給,"39,309","40,070",△ 761
,,,44,052,1,20,1,03,,職員諸手当,"21,653","22,020",△ 367
,,,44,052,1,20,1,04,,超過勤務手当,"8,717","9,383",△ 666
,,,44,052,1,20,1,05,,退職手当,"3,202","2,484",718
,,,44,089,1,20,1,05,,児童手当,"2,580","1,770",810
,,,44,052,1,20,9,06,,諸謝金,216,272,△ 56
,,,44,052,1,20,2,08,,職員旅費,110,111,△ 1
,,,44,052,1,20,2,08,,日額旅費,347,351,△ 4
,,,44,052,1,20,2,08,,赴任旅費,844,848,△ 4
,,,44,052,1,20,3,09,,庁費,"10,965","11,087",△ 122
,,,44,052,1,20,3,09,,情報処理業務庁費,"9,975","10,641",△ 666
,,,44,052,1,20,3,09,,広報費,"1,942","1,976",△ 34
,,,44,052,1,20,3,09,,電子計算機借料,"4,230","4,203",27
,,,44,052,1,20,3,09,,用地処理事務費,11,12,△ 1
,,,44,052,1,20,3,09,,工事雑費,"19,366","19,188",178
,,,44,052,1,20,5,16,,国家公務員共済組合負担金,"12,533","13,584","△ 1,051"
,,106,,,,,,,沖縄国営公園事業工事諸費,,"234,568","185,965","48,603"
,,,45,052,1,20,1,02,,職員基本給,"76,337","53,934","22,403"
,,,45,052,1,20,1,03,,職員諸手当,"47,031","31,626","15,405"
,,,45,052,1,20,1,04,,超過勤務手当,"6,537","4,520","2,017"
,,,45,052,1,20,1,05,,退職手当,"4,038","3,726",312
,,,45,089,1,20,1,05,,児童手当,"2,520","1,580",940
,,,45,052,1,20,9,06,,諸謝金,16,16,0
,,,45,052,1,20,2,08,,職員旅費,"1,237","1,237",0
,,,45,052,1,20,2,08,,日額旅費,314,329,△ 15
,,,45,052,1,20,2,08,,赴任旅費,"1,335",877,458
,,,45,052,1,20,2,08,,委員等旅費,109,0,109
,,,45,052,1,20,3,09,,庁費,"6,222","6,320",△ 98
,,,45,052,1,20,3,09,,情報処理業務庁費,"10,341","8,796","1,545"
,,,45,052,1,20,3,09,,車両費,"15,778","13,452","2,326"
,,,45,052,1,20,3,09,,広報費,"3,006","3,553",△ 547
,,,45,052,1,20,3,09,,電子計算機借料,"5,871","5,340",531
,,,45,052,1,20,3,09,,工事雑費,"32,092","33,001",△ 909
,,,45,199,1,20,3,09,,自動車重量税,172,159,13
,,,45,052,1,20,5,16,,国家公務員共済組合負担金,"21,602","17,489","4,113"
,,,45,052,1,95,9,18,,賠償償還及払戻金,10,10,0
,,107,,,,,,,沖縄農業生産基盤整備事業工事諸費,,"842,900","895,884","△ 52,984"
,,,46,052,1,20,1,02,,職員基本給,"285,899","287,731","△ 1,832"
,,,46,052,1,20,1,03,,職員諸手当,"212,350","208,721","3,629"
,,,46,052,1,20,1,04,,超過勤務手当,"22,895","23,195",△ 300
,,,46,052,1,20,1,05,,短時間勤務職員給与,"10,408","10,412",△ 4
,,,46,052,1,20,1,05,,公務災害補償費,662,662,0
,,,46,052,1,20,1,05,,退職手当,"25,936","87,704","△ 61,768"
,,,46,089,1,20,1,05,,児童手当,"5,880","5,460",420
,,,46,052,1,20,9,06,,諸謝金,751,751,0
,,,46,052,1,20,2,08,,職員旅費,"49,223","49,209",14
,,,46,052,1,20,2,08,,日額旅費,130,129,1
,,,46,052,1,20,2,08,,赴任旅費,"9,162","9,044",118
,,,46,052,1,20,2,08,,委員等旅費,"1,057","1,057",0
,,,46,052,1,20,3,09,,庁費,"27,931","27,951",△ 20
,,,46,052,1,20,3,09,,車両費,"8,297","8,499",△ 202
,,,46,052,1,20,3,09,,用地処理事務費,21,21,0
,,,46,052,1,20,3,09,,工事雑費,"98,850","93,508","5,342"
,,,46,199,1,20,3,09,,自動車重量税,235,374,△ 139
,,,46,052,1,20,5,16,,国家公務員共済組合負担金,"83,113","81,353","1,760"
,,,46,052,1,95,9,18,,賠償償還及払戻金,100,10,90
,,,46,052,1,95,9,18,,精算還付金,0,93,△ 93
,,115,,,,,,,沖縄水産基盤整備事業調査諸費,,"3,631","3,631",0
,,,46,052,1,20,2,08,,職員旅費,"1,611","1,631",△ 20
,,,46,052,1,20,3,09,,庁費,"2,020","2,000",20
,宮内庁,,,,,,,,,,"12,248,767","12,326,528","△ 77,761"
,,111,,,,,,,宮内庁,,"12,248,767","12,326,528","△ 77,761"
,,,95,016,2,11,1,02,,職員基本給,"5,005,396","4,971,200","34,196"
,,,95,016,2,11,1,03,,職員諸手当,"2,696,893","2,618,752","78,141"
,,,95,016,2,11,1,04,,超過勤務手当,"596,243","588,677","7,566"
,,,95,016,2,11,1,05,,非常勤職員手当,"292,665","250,367","42,298"
,,,95,016,2,11,1,05,,休職者給与,"21,516","16,883","4,633"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"225,849","212,976","12,873"
,,,95,016,2,15,1,05,,公務災害補償費,"15,959","16,874",△ 915
,,,95,016,2,11,1,05,,退職手当,"607,772","921,896","△ 314,124"
,,,95,089,2,11,1,05,,児童手当,"59,540","58,830",710
,,,95,016,2,12,9,06,,諸謝金,"6,255","5,615",640
,,,95,016,2,12,2,08,,職員旅費,"6,591","7,084",△ 493
,,,95,016,2,12,2,08,,赴任旅費,"2,622","1,883",739
,,,95,016,2,12,2,08,,皇室活動随伴等旅費,"68,035","102,666","△ 34,631"
,,,95,016,2,12,3,09,,庁費,"467,004","456,089","10,915"
,,,95,016,2,12,3,09,,病院費,"37,063","35,419","1,644"
,,,95,016,2,12,3,09,,国会図書館支部庁費,"1,998","1,962",36
,,,95,016,2,12,3,09,,情報処理業務庁費,"405,592","346,183","59,409"
,,,95,016,2,12,3,09,,各所修繕,"55,051","62,086","△ 7,035"
,,,95,016,2,12,3,09,,病院患者食糧費,745,731,14
,,,95,199,2,13,3,09,,自動車重量税,916,"1,348",△ 432
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,364,252","1,337,546","26,706"
,,,95,016,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"306,445","306,949",△ 504
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"3,565","3,712",△ 147
,,,95,016,2,12,9,17,,交際費,100,100,0
,,,95,016,2,95,9,18,,賠償償還及払戻金,700,700,0
,公正取引委員会,,,,,,,,,,"11,553,326","11,389,747","163,579"
,,121,,,,,,,公正取引委員会,,"11,493,281","11,382,733","110,548"
,,,95,016,2,11,1,02,,職員基本給,"4,077,757","4,087,398","△ 9,641"
,,,95,016,2,11,1,03,,職員諸手当,"2,159,899","2,156,865","3,034"
,,,95,016,2,11,1,04,,超過勤務手当,"575,530","572,209","3,321"
,,,95,016,2,11,1,05,,非常勤職員手当,"489,323","461,909","27,414"
,,,95,016,2,11,1,05,,休職者給与,"20,993","19,309","1,684"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,"14,902","11,519","3,383"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"27,017","19,547","7,470"
,,,95,016,2,15,1,05,,公務災害補償費,807,765,42
,,,95,016,2,11,1,05,,退職手当,"627,702","534,270","93,432"
,,,95,089,2,11,1,05,,児童手当,"52,435","51,240","1,195"
,,,95,016,2,12,9,06,,諸謝金,"23,809","17,317","6,492"
,,,95,016,2,95,9,07,,報償費,547,547,0
,,,95,016,2,12,2,08,,職員旅費,"115,249","121,061","△ 5,812"
,,,95,016,2,12,2,08,,審査活動旅費,"111,044","117,792","△ 6,748"
,,,95,016,2,12,2,08,,消費税転嫁等対策業務旅費,"23,814","28,893","△ 5,079"
,,,95,016,2,12,2,08,,外国留学旅費,"23,260","27,904","△ 4,644"
,,,95,016,2,12,2,08,,赴任旅費,"17,932","17,932",0
,,,95,016,2,12,2,08,,委員等旅費,"29,130","17,132","11,998"
,,,95,016,2,12,2,08,,外国人招へい旅費,"5,139",0,"5,139"
,,,95,016,2,12,2,08,,参考人等旅費,453,546,△ 93
,,,95,016,2,12,3,09,,庁費,"576,604","589,724","△ 13,120"
,,,95,016,2,12,3,09,,国会図書館支部庁費,"1,832","1,832",0
,,,95,016,2,12,3,09,,情報処理業務庁費,"119,897","100,443","19,454"
,,,95,016,2,12,3,09,,消費税転嫁等対策業務庁費,"111,065","140,855","△ 29,790"
,,,95,016,2,12,3,09,,経済実態等調査費,"74,567","66,979","7,588"
,,,95,016,2,12,3,09,,電子計算機等借料,"72,088","70,981","1,107"
,,,95,016,2,12,3,09,,各所修繕,"2,977","3,369",△ 392
,,,95,016,2,12,3,09,,審査活動費,"318,002","253,059","64,943"
,,,95,199,2,13,3,09,,自動車重量税,373,296,77
,,,95,016,2,12,5,14,,競争政策推進委託費,"1,000","8,000","△ 7,000"
,,,95,016,2,12,5,14,,消費税転嫁等対策委託費,"455,078","545,135","△ 90,057"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"1,105,555","1,079,356","26,199"
,,,95,016,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"256,365","257,761","△ 1,396"
,,,95,016,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,290,39,251
,,,95,016,2,72,5,16,,国際競争組織分担金,346,346,0
,,,95,016,2,12,9,17,,交際費,200,200,0
,,,95,016,2,95,9,18,,賠償償還及払戻金,100,100,0
,,,95,016,2,95,9,19,,予納金,200,103,97
,,122,,,,,,,公正取引委員会施設費,,"60,045","7,014","53,031"
,,,95,016,1,20,3,09,,施設施工庁費,57,15,42
,,,95,016,1,20,4,15,,施設整備費,"59,988","6,999","52,989"
,警察庁,,,,,,,,,,"360,304,799","342,084,729","18,220,070"
,,131,,,,,,,警察庁共通費,,"94,258,622","94,907,651","△ 649,029"
,,,95,014,2,11,1,02,,職員基本給,"36,984,080","37,142,204","△ 158,124"
,,,95,014,2,11,1,03,,職員諸手当,"20,021,920","19,999,463","22,457"
,,,95,014,2,11,1,04,,超過勤務手当,"3,888,654","3,992,466","△ 103,812"
,,,95,014,2,11,1,05,,委員手当,"28,463","30,217","△ 1,754"
,,,95,014,2,11,1,05,,非常勤職員手当,"696,358","683,450","12,908"
,,,95,014,2,11,1,05,,休職者給与,"87,572","90,948","△ 3,376"
,,,95,014,2,11,1,05,,国際機関等派遣職員給与,"80,508","118,300","△ 37,792"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"504,263","524,622","△ 20,359"
,,,95,014,2,15,1,05,,公務災害補償費,"132,257","134,610","△ 2,353"
,,,95,014,2,11,1,05,,退職手当,"9,245,456","9,193,891","51,565"
,,,95,089,2,11,1,05,,児童手当,"481,620","601,140","△ 119,520"
,,,95,014,2,12,9,06,,諸謝金,"7,913","7,729",184
,,,95,014,2,95,9,07,,報償費,"101,601","101,382",219
,,,95,014,2,12,2,08,,職員旅費,"278,920","275,269","3,651"
,,,95,014,2,12,2,08,,外国留学旅費,"55,802","60,989","△ 5,187"
,,,95,014,2,12,2,08,,赴任旅費,"257,003","254,666","2,337"
,,,95,014,2,12,2,08,,委員等旅費,"3,777","3,521",256
,,,95,014,2,12,2,08,,外国人招へい旅費,"43,495","40,710","2,785"
,,,95,014,2,12,2,08,,政府開発援助外国人招へい旅費,"6,034","5,584",450
,,,95,014,2,12,3,09,,庁費,"4,288,344","4,333,768","△ 45,424"
,,,95,014,2,12,3,09,,政府開発援助庁費,"11,558","9,955","1,603"
,,,95,014,2,12,3,09,,国会図書館支部庁費,"2,129","1,849",280
,,,95,014,2,12,3,09,,警察装備費,"4,093","4,105",△ 12
,,,95,014,2,12,3,09,,土地建物借料,"65,797","65,261",536
,,,95,014,2,12,3,09,,招へい外国人滞在費,"13,267","9,221","4,046"
,,,95,014,2,12,3,09,,政府開発援助招へい外国人滞在費,737,804,△ 67
,,,95,014,2,12,3,09,,各所修繕,"523,389","508,995","14,394"
,,,95,014,2,12,3,09,,公共施設等維持管理運営費,"139,588","137,112","2,476"
,,,95,199,2,13,3,09,,自動車重量税,"15,616","6,710","8,906"
,,,95,081,2,71,5,16,,警察共済組合特定健康診査・保健指導補助金,"6,155","6,027",128
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"15,320,795","15,479,318","△ 158,523"
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"85,066","86,020",△ 954
,,,95,014,2,72,5,16,,国際刑事警察会議等分担金,"869,049","990,011","△ 120,962"
,,,95,014,2,12,9,17,,交際費,"2,343","2,334",9
,,,95,014,2,95,9,18,,賠償償還及払戻金,"5,000","5,000",0
,,132,,,,,,,警察庁施設費,,"9,498,276","12,286,881","△ 2,788,605"
,,,95,014,1,20,2,08,,施設施工旅費,"40,632","20,918","19,714"
,,,95,014,1,20,3,09,,施設施工庁費,"1,106,682","1,095,673","11,009"
,,,95,014,1,20,4,15,,警察庁施設費,"6,979,479","9,915,194","△ 2,935,715"
,,,95,014,1,20,4,15,,通信施設整備費,"394,318","152,111","242,207"
,,,95,014,1,20,4,15,,不動産購入費,"977,165","1,102,985","△ 125,820"
,,133,,,,,,,生活安全警察費,,"235,570","149,811","85,759"
,,,95,014,2,12,9,06,,諸謝金,"2,176","2,447",△ 271
,,,95,014,2,12,3,09,,警察装備費,"233,394","147,364","86,030"
,,134,,,,,,,刑事警察費,,"407,345","265,690","141,655"
,,,95,014,2,12,9,06,,諸謝金,"1,884","1,904",△ 20
,,,95,014,2,12,3,09,,警察装備費,"405,461","263,786","141,675"
,,135,,,,,,,組織犯罪対策費,,"50,867","64,229","△ 13,362"
,,,95,014,2,12,9,06,,諸謝金,"1,061","1,067",△ 6
,,,95,014,2,12,3,09,,警察装備費,"49,806","63,162","△ 13,356"
,,136,,,,,,,交通警察費,,"21,018,505","19,697,239","1,321,266"
,,,95,014,2,12,9,06,,諸謝金,"1,438","1,448",△ 10
,,,95,014,2,12,3,09,,警察装備費,"240,428","259,201","△ 18,773"
,,,95,014,1,82,5,16,,都道府県警察施設整備費補助金,"20,776,639","19,436,590","1,340,049"
,,145,,,,,,,交通反則者納金財源交通安全対策特別交付金等交付税及び譲与税配付金特別会計へ繰入,,"54,361,639","56,816,994","△ 2,455,355"
,,,95,029,2,30,6,22,,交通反則者納金財源の交付税及び譲与税配付金特別会計へ繰入,"54,361,639","56,816,994","△ 2,455,355"
,,137,,,,,,,警備警察費,,"10,991,553","9,228,245","1,763,308"
,,,95,014,2,12,9,06,,諸謝金,"2,553","1,877",676
,,,95,014,2,12,2,08,,活動旅費,"66,875","5,100","61,775"
,,,95,014,2,12,3,09,,警察装備費,"1,590,866","968,434","622,432"
,,,95,014,2,12,3,09,,警察通信維持費,"18,631","17,195","1,436"
,,,95,014,2,12,3,09,,土地建物借料,"2,960","2,955",5
,,,95,014,2,12,3,09,,各所修繕,"8,805","9,669",△ 864
,,,95,014,2,81,5,16,,千葉県警察成田国際空港警備隊費補助金,"7,345,018","8,223,015","△ 877,997"
,,,95,014,2,81,5,16,,福岡県警察及沖縄県警察国境離島警備隊費補助金,"1,955,845",0,"1,955,845"
,,138,,,,,,,皇宮警察本部,,"8,962,186","8,779,230","182,956"
,,,95,014,2,11,1,02,,職員基本給,"4,469,622","4,397,091","72,531"
,,,95,014,2,11,1,03,,職員諸手当,"2,015,876","1,954,441","61,435"
,,,95,014,2,11,1,04,,超過勤務手当,"1,058,899","1,226,788","△ 167,889"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"72,762","54,317","18,445"
,,,95,089,2,11,1,05,,児童手当,"53,400","59,880","△ 6,480"
,,,95,014,2,12,9,06,,諸謝金,"4,289","4,541",△ 252
,,,95,014,2,12,2,08,,職員旅費,"9,804","9,836",△ 32
,,,95,014,2,12,2,08,,活動旅費,"176,061","163,705","12,356"
,,,95,014,2,12,2,08,,入校生旅費,"11,098","17,851","△ 6,753"
,,,95,014,2,12,3,09,,庁費,"114,744","109,271","5,473"
,,,95,014,2,12,3,09,,情報処理業務庁費,"18,397","4,553","13,844"
,,,95,014,2,12,3,09,,警察装備費,"850,128","621,785","228,343"
,,,95,014,2,12,3,09,,警察官被服費,"72,462","82,381","△ 9,919"
,,,95,014,2,12,3,09,,電子計算機等借料,"34,520","72,666","△ 38,146"
,,,95,014,2,12,9,17,,交際費,124,124,0
,,140,,,,,,,犯罪被害給付費,,"1,182,037","1,347,684","△ 165,647"
,,,95,014,2,12,9,06,,諸謝金,"3,343","3,318",25
,,,95,014,2,60,9,06,,犯罪被害給付金,"1,128,467","1,291,265","△ 162,798"
,,,95,014,2,12,3,09,,警察装備費,"50,227","53,101","△ 2,874"
,,141,,,,,,,情報技術犯罪対策費,,"1,131,813","575,930","555,883"
,,,95,014,2,12,9,06,,諸謝金,960,"1,258",△ 298
,,,95,014,2,12,3,09,,警察装備費,"1,130,853","574,672","556,181"
,,142,,,,,,,科学警察研究所,,"2,167,118","2,133,140","33,978"
,,,13,014,2,20,1,02,,職員基本給,"653,216","631,641","21,575"
,,,13,014,2,20,1,03,,職員諸手当,"392,883","369,646","23,237"
,,,13,014,2,20,1,04,,超過勤務手当,"18,423","18,286",137
,,,13,014,2,20,1,05,,委員手当,236,236,0
,,,13,014,2,20,1,05,,非常勤職員手当,"20,558","19,372","1,186"
,,,13,014,2,20,1,05,,短時間勤務職員給与,"6,734","15,646","△ 8,912"
,,,13,089,2,20,1,05,,児童手当,"7,440","7,740",△ 300
,,,13,014,2,20,9,06,,諸謝金,"2,402","2,632",△ 230
,,,13,014,2,20,2,08,,職員旅費,"13,288","12,367",921
,,,13,014,2,20,2,08,,活動旅費,"3,150","3,128",22
,,,13,014,2,20,2,08,,委員等旅費,720,922,△ 202
,,,13,014,2,20,2,08,,入校生旅費,"35,027","33,481","1,546"
,,,13,014,2,20,2,08,,外国人招へい旅費,0,"3,466","△ 3,466"
,,,13,014,2,20,3,09,,庁費,"205,131","203,349","1,782"
,,,13,014,2,20,3,09,,試験研究費,"779,711","777,290","2,421"
,,,13,014,2,20,3,09,,電子計算機等借料,"28,199","33,646","△ 5,447"
,,,13,014,2,20,3,09,,招へい外国人滞在費,0,292,△ 292
,,143,,,,,,,警察活動基盤整備費,,"156,039,268","135,832,005","20,207,263"
,,,95,014,2,12,9,06,,諸謝金,"1,753,418","1,683,719","69,699"
,,,95,014,2,12,2,08,,活動旅費,"15,331,160","15,078,662","252,498"
,,,95,014,2,12,2,08,,入校生旅費,"3,380,442","3,536,661","△ 156,219"
,,,95,014,2,12,3,09,,校費,"3,206,602","2,299,619","906,983"
,,,95,014,2,12,3,09,,情報処理業務庁費,"4,502,436","6,841,318","△ 2,338,882"
,,,95,014,2,12,3,09,,警察装備費,"27,222,238","20,964,161","6,258,077"
,,,95,014,2,20,3,09,,車両購入費,"5,327,106","2,877,081","2,450,025"
,,,95,014,2,20,3,09,,警察通信機器整備費,"21,894,896","9,164,797","12,730,099"
,,,95,014,2,12,3,09,,警察通信維持費,"8,874,802","8,979,386","△ 104,584"
,,,95,014,2,12,3,09,,警察電話専用料,"4,340,781","4,677,649","△ 336,868"
,,,95,014,2,12,3,09,,警察官被服費,"29,397","28,848",549
,,,95,014,2,12,3,09,,土地建物借料,"8,398","8,398",0
,,,95,014,2,12,3,09,,電子計算機等借料,"10,779,836","8,983,052","1,796,784"
,,,95,014,2,12,3,09,,船舶借料,"4,376","4,336",40
,,,95,014,2,12,3,09,,捜査費,"3,427,604","3,320,243","107,361"
,,,95,014,2,12,3,09,,公共施設等維持管理運営費,"219,770","232,551","△ 12,781"
,,,95,014,2,20,4,15,,航空機購入費,"5,571,096","4,300,817","1,270,279"
,,,95,014,2,81,5,16,,都道府県警察費補助金,"34,089,234","33,380,607","708,627"
,,,95,014,1,82,5,16,,都道府県警察施設整備費補助金,"6,075,632","9,470,056","△ 3,394,424"
,,,95,014,2,12,9,17,,交際費,44,44,0
,個人情報保護委員会,,,,,,,,,,"4,154,914","3,546,721","608,193"
,,221,,,,,,,個人情報保護委員会,,"4,154,914","3,546,721","608,193"
,,,95,016,2,11,1,02,,職員基本給,"744,677","700,698","43,979"
,,,95,016,2,11,1,03,,職員諸手当,"388,987","358,874","30,113"
,,,95,016,2,11,1,04,,超過勤務手当,"91,521","86,557","4,964"
,,,95,016,2,11,1,05,,委員手当,"11,994","11,994",0
,,,95,016,2,11,1,05,,非常勤職員手当,"67,559","67,203",356
,,,95,016,2,11,1,05,,休職者給与,"3,153","2,764",389
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,"3,839",0,"3,839"
,,,95,016,2,15,1,05,,公務災害補償費,774,774,0
,,,95,016,2,11,1,05,,退職手当,"71,997","14,682","57,315"
,,,95,089,2,11,1,05,,児童手当,"7,500","7,500",0
,,,95,016,2,12,9,06,,諸謝金,"3,498","4,855","△ 1,357"
,,,95,016,2,12,2,08,,職員旅費,"71,716","66,895","4,821"
,,,95,016,2,12,2,08,,赴任旅費,"1,495","1,495",0
,,,95,016,2,12,2,08,,委員等旅費,"38,981","45,133","△ 6,152"
,,,95,016,2,12,3,09,,庁費,"64,307","65,944","△ 1,637"
,,,95,016,2,12,3,09,,情報処理業務庁費,"653,461","692,408","△ 38,947"
,,,95,016,2,12,3,09,,個人情報保護業務庁費,"501,791","463,087","38,704"
,,,95,016,2,12,3,09,,土地建物借料,"304,656","292,430","12,226"
,,,95,199,2,13,3,09,,自動車重量税,148,50,98
,,,95,016,2,12,5,14,,社会保障・税番号制度システム開発等委託費,"1,082,484","662,996","419,488"
,,,95,016,2,72,5,16,,国際機関等拠出金,"40,166",172,"39,994"
,,,95,016,2,12,9,17,,交際費,90,90,0
,,,95,016,2,95,9,18,,賠償償還及払戻金,120,120,0
,カジノ管理委員会,,,,,,,,,,"3,812,855","2,562,212","1,250,643"
,,271,,,,,,,カジノ管理委員会,,"3,812,855","2,562,212","1,250,643"
,,,95,016,2,11,1,02,,職員基本給,"728,005","480,681","247,324"
,,,95,016,2,11,1,03,,職員諸手当,"395,228","180,875","214,353"
,,,95,016,2,11,1,04,,超過勤務手当,"94,969","53,098","41,871"
,,,95,016,2,11,1,05,,委員手当,"14,194","1,912","12,282"
,,,95,016,2,11,1,05,,非常勤職員手当,"108,572","79,668","28,904"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"24,078","16,721","7,357"
,,,95,016,2,15,1,05,,公務災害補償費,944,562,382
,,,95,016,2,11,1,05,,退職手当,"5,862","1,078","4,784"
,,,95,089,2,11,1,05,,児童手当,"12,015","3,320","8,695"
,,,95,016,2,12,9,06,,諸謝金,"104,048","158,199","△ 54,151"
,,,95,016,2,12,2,08,,職員旅費,"3,989","7,015","△ 3,026"
,,,95,016,2,12,2,08,,カジノ事業監督等業務旅費,"74,196","68,165","6,031"
,,,95,016,2,12,2,08,,カジノ事業免許等審査業務旅費,"20,047",0,"20,047"
,,,95,016,2,12,2,08,,赴任旅費,"1,414","1,414",0
,,,95,016,2,12,2,08,,委員等旅費,"49,492","47,237","2,255"
,,,95,016,2,12,3,09,,庁費,"382,833","361,953","20,880"
,,,95,016,2,12,3,09,,情報処理業務庁費,"671,622","466,786","204,836"
,,,95,016,2,12,3,09,,カジノ事業監督等業務庁費,"378,446","254,877","123,569"
,,,95,016,2,12,3,09,,カジノ事業免許等審査業務庁費,"177,750",0,"177,750"
,,,95,016,2,12,3,09,,土地建物借料,"387,883","288,214","99,669"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"176,894","90,143","86,751"
,,,95,016,2,12,9,17,,交際費,264,194,70
,,,95,016,2,95,9,18,,賠償償還及払戻金,110,100,10
,金融庁,,,,,,,,,,"25,676,008","25,580,823","95,185"
,,151,,,,,,,金融庁共通費,,"23,092,824","23,553,565","△ 460,741"
,,,95,016,2,11,1,02,,職員基本給,"8,090,178","8,139,205","△ 49,027"
,,,95,016,2,11,1,03,,職員諸手当,"4,335,572","4,162,201","173,371"
,,,95,016,2,11,1,04,,超過勤務手当,"1,623,225","1,594,802","28,423"
,,,95,016,2,11,1,05,,委員手当,"12,790","16,985","△ 4,195"
,,,95,016,2,11,1,05,,非常勤職員手当,"616,893","602,938","13,955"
,,,95,016,2,11,1,05,,休職者給与,"25,140","26,255","△ 1,115"
