所管,組織,,,,,,,,                             項目,,"令和元年度
成立予算額(千円)",補正要求,,,"改令和元年度
予算額(千円)"
,,,95,063,2,11,1,05,,短時間勤務職員給与,"66,314",0,"△ 25,929","△ 25,929","40,385"
,,,95,089,2,11,1,05,,児童手当,"13,500",0,"△ 3,155","△ 3,155","10,345"
,,,95,063,2,12,9,06,,諸謝金外10目,"1,553,836",0,0,0,"1,553,836"
,公害等調整委員会,,,,,,,,,,"565,202",0,"△ 11,961","△ 11,961","553,241"
,,061,,,,,,,公害等調整委員会,,"565,202",0,"△ 11,961","△ 11,961","553,241"
,,,95,016,2,11,1,02,,職員基本給,"273,345",0,"△ 3,638","△ 3,638","269,707"
,,,95,016,2,11,1,04,,超過勤務手当,"19,612",0,"△ 7,820","△ 7,820","11,792"
,,,95,016,2,11,1,05,,委員手当,"5,706",0,△ 13,△ 13,"5,693"
,,,95,089,2,11,1,05,,児童手当,"1,740",0,△ 490,△ 490,"1,250"
,,,95,016,2,12,9,06,,諸謝金外10目,"264,799",0,0,0,"264,799"
,消防庁,,,,,,,,,,"16,761,775","3,519,737","△ 23,213","3,496,524","20,258,299"
,,071,,,,,,,消防庁共通費,,"2,247,114",0,"△ 23,213","△ 23,213","2,223,901"
,,,95,014,2,11,1,02,,職員基本給,"896,873",0,"△ 12,683","△ 12,683","884,190"
,,,95,014,2,11,1,03,,職員諸手当,"494,478",0,"△ 6,466","△ 6,466","488,012"
,,,95,014,2,11,1,05,,委員手当,832,0,△ 133,△ 133,699
,,,95,014,2,11,1,05,,短時間勤務職員給与,"11,785",0,"△ 2,191","△ 2,191","9,594"
,,,95,089,2,11,1,05,,児童手当,"13,800",0,"△ 1,740","△ 1,740","12,060"
,,,95,014,2,12,9,06,,諸謝金外11目,"829,346",0,0,0,"829,346"
,,073,,,,,,,消防庁施設費,,"110,850",0,0,0,"110,850"
,,072,,,,,,,消防防災体制等整備費,,"14,403,811","3,519,737",0,"3,519,737","17,923,548"
,,,95,014,2,12,3,09,,校費,"126,789","92,180",0,"92,180","218,969"
,,,95,014,2,12,3,09,,消防防災等業務庁費,"4,697,795","1,241,440",0,"1,241,440","5,939,235"
,,,95,014,2,12,3,09,,情報処理業務庁費,"474,428","117,752",0,"117,752","592,180"
,,,95,014,2,20,4,15,,航空機購入費,0,"1,967,406",0,"1,967,406","1,967,406"
,,,95,014,2,86,5,16,,緊急消防援助隊活動費負担金,"10,000","100,959",0,"100,959","110,959"
,,,95,014,2,12,9,06,,諸謝金外17目,"9,094,799",0,0,0,"9,094,799"
法務省,法務本省,,,,,,,,,,"226,678,798","14,570,490","△ 1,827,720","12,742,770","239,421,568"
,,001,,,,,,,法務本省共通費,,"127,951,377","11,878","△ 1,827,119","△ 1,815,241","126,136,136"
,,,95,014,2,11,1,02,,職員基本給,"4,883,341",0,"△ 155,895","△ 155,895","4,727,446"
,,,95,014,2,11,1,03,,職員諸手当,"2,475,054",0,"△ 49,502","△ 49,502","2,425,552"
,,,95,014,2,11,1,05,,委員手当,"48,194",0,"△ 19,100","△ 19,100","29,094"
,,,95,014,2,11,1,05,,非常勤職員手当,"19,539",0,"△ 2,567","△ 2,567","16,972"
,,,95,014,2,11,1,05,,休職者給与,"754,520",0,"△ 24,928","△ 24,928","729,592"
,,,95,014,2,11,1,05,,国際機関等派遣職員給与,"198,892",0,"△ 52,238","△ 52,238","146,654"
,,,95,014,2,11,1,05,,退職手当,"32,758,021",0,"△ 919,147","△ 919,147","31,838,874"
,,,95,089,2,11,1,05,,児童手当,"58,280",0,"△ 1,135","△ 1,135","57,145"
,,,95,014,2,12,3,09,,庁費,"1,356,389","11,878",0,"11,878","1,368,267"
,,,95,014,2,11,5,16,,国家公務員共済組合負担金,"65,102,451",0,"△ 600,569","△ 600,569","64,501,882"
,,,95,014,2,72,5,16,,国際私法会議等分担金,"63,883",0,"△ 1,399","△ 1,399","62,484"
,,,95,014,2,72,5,16,,国際連合開発計画拠出金,"2,508",0,△ 639,△ 639,"1,869"
,,,95,014,2,12,9,06,,諸謝金外25目,"20,230,305",0,0,0,"20,230,305"
,,002,,,,,,,基本法制整備費,,"139,667",0,0,0,"139,667"
,,003,,,,,,,司法制度改革推進費,,"17,506,419",0,△ 87,△ 87,"17,506,332"
,,,95,014,2,11,1,05,,委員手当,"43,133",0,△ 87,△ 87,"43,046"
,,,95,014,2,12,9,06,,諸謝金外7目,"17,463,286",0,0,0,"17,463,286"
,,004,,,,,,,日本司法支援センター運営費,,"14,901,531","352,868",0,"352,868","15,254,399"
,,,95,014,2,40,5,16,,日本司法支援センター運営費交付金,"14,901,531","352,868",0,"352,868","15,254,399"
,,015,,,,,,,再犯防止等企画調整推進費,,"331,995",0,0,0,"331,995"
,,005,,,,,,,検察企画調整費,,"47,436",0,0,0,"47,436"
,,006,,,,,,,矯正企画調整費,,"150,257",0,△ 514,△ 514,"149,743"
,,,95,014,2,11,1,05,,委員手当,"70,960",0,△ 514,△ 514,"70,446"
,,,95,014,2,12,9,06,,諸謝金外6目,"79,297",0,0,0,"79,297"
,,007,,,,,,,更生保護企画調整推進費,,"477,099","52,920",0,"52,920","530,019"
,,,95,014,2,92,5,16,,更生保護事業費補助金,"433,183","52,920",0,"52,920","486,103"
,,,95,014,2,12,9,06,,諸謝金外4目,"43,916",0,0,0,"43,916"
,,008,,,,,,,債権管理回収業審査監督費,,"10,190",0,0,0,"10,190"
,,009,,,,,,,人権擁護推進費,,"1,275,259",0,0,0,"1,275,259"
,,010,,,,,,,訟務費,,"1,909,973","31,046",0,"31,046","1,941,019"
,,,95,191,2,12,3,09,,訟務庁費,"747,271","31,046",0,"31,046","778,317"
,,,95,191,2,12,9,06,,諸謝金外5目,"1,162,702",0,0,0,"1,162,702"
,,012,,,,,,,法務省施設費,,"58,570,958","14,042,081",0,"14,042,081","72,613,039"
,,,95,014,1,20,2,08,,施設施工旅費,"134,445","5,544",0,"5,544","139,989"
,,,95,014,1,20,3,09,,施設施工庁費,"116,255","11,337",0,"11,337","127,592"
,,,95,014,1,20,4,15,,施設整備費,"56,010,925","14,025,200",0,"14,025,200","70,036,125"
,,,95,014,1,20,4,15,,不動産購入費,"2,309,333",0,0,0,"2,309,333"
,,013,,,,,,,法務行政情報化推進費,,"3,406,637","79,697",0,"79,697","3,486,334"
,,,95,014,2,12,3,09,,情報処理業務庁費,"3,406,637","79,697",0,"79,697","3,486,334"
,法務総合研究所,,,,,,,,,,"2,281,675","181,481","△ 7,127","174,354","2,456,029"
,,021,,,,,,,法務総合研究所共通費,,"1,925,916","181,481","△ 7,127","174,354","2,100,270"
,,,95,014,2,11,1,02,,職員基本給,"522,980",0,"△ 7,127","△ 7,127","515,853"
,,,95,014,2,12,3,09,,研修所庁費,"129,335","181,481",0,"181,481","310,816"
,,,95,014,2,12,9,06,,諸謝金外9目,"1,273,601",0,0,0,"1,273,601"
,,022,,,,,,,法務調査研究費,,"43,249",0,0,0,"43,249"
,,023,,,,,,,国際協力推進費,,"312,510",0,0,0,"312,510"
,検察庁,,,,,,,,,,"112,443,226","1,156,015","△ 714,726","441,289","112,884,515"
,,031,,,,,,,検察官署共通費,,"103,432,714","508,060","△ 703,978","△ 195,918","103,236,796"
,,,95,014,2,11,1,02,,職員基本給,"62,807,501",0,"△ 580,762","△ 580,762","62,226,739"
,,,95,014,2,12,3,09,,庁費,"5,029,726","302,951","△ 57,388","245,563","5,275,289"
,,,95,014,2,12,3,09,,情報処理業務庁費,"197,681","117,818","△ 65,828","51,990","249,671"
,,,95,014,2,12,3,09,,庁舎等撤去費,"2,420","87,291",0,"87,291","89,711"
,,,95,014,2,12,2,08,,職員旅費外10目,"35,395,386",0,0,0,"35,395,386"
,,032,,,,,,,検察費,,"5,335,161","212,445","△ 1,487","210,958","5,546,119"
,,,95,014,2,12,3,09,,検察業務庁費,"3,504,496","212,445","△ 1,487","210,958","3,715,454"
,,,95,014,2,12,9,06,,諸謝金外6目,"1,830,665",0,0,0,"1,830,665"
,,033,,,,,,,検察運営費,,"3,675,351","435,510","△ 9,261","426,249","4,101,600"
,,,95,014,2,12,3,09,,情報処理業務庁費,"1,440,456","46,919",0,"46,919","1,487,375"
,,,95,014,2,12,3,09,,検察業務庁費,"2,003,806","388,591","△ 9,261","379,330","2,383,136"
,,,95,014,2,12,9,06,,諸謝金外6目,"231,089",0,0,0,"231,089"
,矯正官署,,,,,,,,,,"238,934,701","2,665,082","△ 1,500,146","1,164,936","240,099,637"
,,041,,,,,,,矯正官署共通費,,"170,655,717","295,345","△ 1,188,394","△ 893,049","169,762,668"
,,,95,014,2,11,1,02,,職員基本給,"98,069,467",0,"△ 651,821","△ 651,821","97,417,646"
,,,95,014,2,11,1,03,,職員諸手当,"46,174,676",0,"△ 275,102","△ 275,102","45,899,574"
,,,95,014,2,11,1,05,,非常勤職員手当,"1,067,531",0,"△ 104,806","△ 104,806","962,725"
,,,95,089,2,11,1,05,,児童手当,"2,063,815",0,"△ 156,665","△ 156,665","1,907,150"
,,,95,014,2,12,3,09,,庁費,"2,344,824","172,344",0,"172,344","2,517,168"
,,,95,014,2,12,3,09,,庁舎等撤去費,"254,117","123,001",0,"123,001","377,118"
,,,95,014,2,12,9,06,,諸謝金外10目,"20,681,287",0,0,0,"20,681,287"
,,042,,,,,,,矯正管理業務費,,"6,375,828","2,087,536",0,"2,087,536","8,463,364"
,,,95,014,2,12,3,09,,矯正管理業務庁費,"5,203,222","2,087,536",0,"2,087,536","7,290,758"
,,,95,014,2,12,9,06,,諸謝金外5目,"1,172,606",0,0,0,"1,172,606"
,,043,,,,,,,矯正収容費,,"43,572,341","282,201","△ 143,206","138,995","43,711,336"
,,,95,014,2,12,3,09,,収容諸費,"21,702,855","27,297",0,"27,297","21,730,152"
,,,95,014,2,12,3,09,,作業諸費,"3,103,342","254,904",0,"254,904","3,358,246"
,,,95,014,2,12,9,18,,都道府県警察実費弁償金,"5,004,750",0,"△ 143,206","△ 143,206","4,861,544"
,,,95,014,2,12,9,06,,諸謝金外16目,"13,761,394",0,0,0,"13,761,394"
,,044,,,,,,,矯正施設民間開放推進費,,"18,330,815",0,"△ 168,546","△ 168,546","18,162,269"
,,,95,014,2,12,3,09,,公共施設等維持管理運営費,"15,922,615",0,"△ 168,546","△ 168,546","15,754,069"
,,,95,014,2,12,2,08,,職員旅費外1目,"2,408,200",0,0,0,"2,408,200"
,更生保護官署,,,,,,,,,,"27,447,001","87,047","△ 143,910","△ 56,863","27,390,138"
,,051,,,,,,,更生保護官署共通費,,"14,209,293",0,"△ 143,910","△ 143,910","14,065,383"
,,,95,014,2,11,1,02,,職員基本給,"8,354,457",0,"△ 111,852","△ 111,852","8,242,605"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"200,481",0,"△ 28,908","△ 28,908","171,573"
,,,95,089,2,11,1,05,,児童手当,"111,545",0,"△ 3,150","△ 3,150","108,395"
,,,95,014,2,12,2,08,,職員旅費外13目,"5,542,810",0,0,0,"5,542,810"
,,052,,,,,,,更生保護活動費,,"13,237,708","87,047",0,"87,047","13,324,755"
,,,95,014,2,12,3,09,,更生保護業務庁費,"2,013,602","87,047",0,"87,047","2,100,649"
,,,95,014,2,12,9,06,,諸謝金外12目,"11,224,106",0,0,0,"11,224,106"
,法務局,,,,,,,,,,"131,757,648","1,040,751","△ 532,738","508,013","132,265,661"
,,061,,,,,,,法務局共通費,,"72,344,650","82,720","△ 193,041","△ 110,321","72,234,329"
,,,95,014,2,11,1,02,,職員基本給,"39,092,477",0,"△ 65,611","△ 65,611","39,026,866"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"2,166,281",0,"△ 127,430","△ 127,430","2,038,851"
,,,95,014,2,12,3,09,,庁舎等撤去費,"73,329","82,720",0,"82,720","156,049"
,,,95,014,2,12,9,06,,諸謝金外13目,"31,012,563",0,0,0,"31,012,563"
,,064,,,,,,,登記事務処理費,,"52,385,354","813,385","△ 4,784","808,601","53,193,955"
,,,95,014,2,11,1,05,,委員手当,"465,529",0,"△ 4,784","△ 4,784","460,745"
,,,95,014,2,12,3,09,,登記情報処理業務庁費,"33,767,967","589,497",0,"589,497","34,357,464"
,,,95,014,2,12,3,09,,登記業務庁費,"10,866,479","44,641",0,"44,641","10,911,120"
,,,95,014,2,12,5,14,,登記事項証明書交付事務等委託費,"6,994,630","179,247",0,"179,247","7,173,877"
,,,95,014,2,12,9,06,,諸謝金外3目,"290,749",0,0,0,"290,749"
,,062,,,,,,,国籍等事務処理費,,"4,889,594","144,646","△ 334,913","△ 190,267","4,699,327"
,,,95,014,2,12,3,09,,民事業務庁費,"4,751,065","144,646","△ 334,913","△ 190,267","4,560,798"
,,,95,014,2,12,2,08,,民事業務旅費外2目,"138,529",0,0,0,"138,529"
,,063,,,,,,,人権擁護活動費,,"2,138,050",0,0,0,"2,138,050"
,出入国在留管理庁,,,,,,,,,,"58,266,621","4,103,547","△ 17,021","4,086,526","62,353,147"
,,101,,,,,,,出入国在留管理庁共通費,,"34,669,123","48,328",0,"48,328","34,717,451"
,,,95,014,2,12,3,09,,庁費,"1,321,879","48,328",0,"48,328","1,370,207"
,,,95,014,2,12,9,06,,諸謝金外14目,"33,347,244",0,0,0,"33,347,244"
,,102,,,,,,,出入国管理企画調整推進費,,"2,670,437","186,705","△ 16,993","169,712","2,840,149"
,,,95,014,2,11,1,05,,委員手当,"71,137",0,"△ 16,993","△ 16,993","54,144"
,,,95,014,2,12,3,09,,出入国管理業務庁費,"278,285","186,705",0,"186,705","464,990"
,,,95,014,2,12,9,06,,諸謝金外8目,"2,321,015",0,0,0,"2,321,015"
,,103,,,,,,,出入国管理業務費,,"20,927,061","3,868,514",△ 28,"3,868,486","24,795,547"
,,,95,014,2,11,1,05,,非常勤職員手当,"28,822",0,△ 28,△ 28,"28,794"
,,,95,014,2,12,3,09,,情報処理業務庁費,"10,507,440","3,849,227",0,"3,849,227","14,356,667"
,,,95,014,2,12,3,09,,収容諸費,"1,450,052","19,287",0,"19,287","1,469,339"
,,,95,014,2,12,9,06,,諸謝金外11目,"8,940,747",0,0,0,"8,940,747"
,公安審査委員会,,,,,,,,,,"66,874",0,"△ 5,653","△ 5,653","61,221"
,,081,,,,,,,公安審査委員会,,"66,874",0,"△ 5,653","△ 5,653","61,221"
,,,95,014,2,11,1,02,,職員基本給,"23,687",0,△ 894,△ 894,"22,793"
,,,95,014,2,11,1,03,,職員諸手当,"13,746",0,△ 217,△ 217,"13,529"
,,,95,014,2,11,1,05,,委員手当,"18,172",0,"△ 4,362","△ 4,362","13,810"
,,,95,089,2,11,1,05,,児童手当,480,0,△ 180,△ 180,300
,,,95,014,2,12,9,06,,諸謝金外6目,"10,789",0,0,0,"10,789"
,公安調査庁,,,,,,,,,,"15,039,257","451,898","△ 191,773","260,125","15,299,382"
,,091,,,,,,,公安調査庁共通費,,"12,916,185","7,292","△ 191,773","△ 184,481","12,731,704"
,,,95,014,2,11,1,02,,職員基本給,"7,867,506",0,"△ 138,491","△ 138,491","7,729,015"
,,,95,014,2,11,1,03,,職員諸手当,"3,901,724",0,"△ 48,507","△ 48,507","3,853,217"
,,,95,089,2,11,1,05,,児童手当,"108,395",0,"△ 4,775","△ 4,775","103,620"
,,,95,014,2,12,3,09,,庁費,"460,268","7,292",0,"7,292","467,560"
,,,95,014,2,12,9,06,,諸謝金外8目,"578,292",0,0,0,"578,292"
,,092,,,,,,,破壊的団体等調査費,,"2,123,072","444,606",0,"444,606","2,567,678"
,,,95,014,2,12,3,09,,団体等調査業務庁費,"386,423","444,606",0,"444,606","831,029"
,,,95,014,2,12,9,06,,諸謝金外3目,"1,736,649",0,0,0,"1,736,649"
外務省,外務本省,,,,,,,,,,"580,505,912","130,265,338","△ 5,832,217","124,433,121","704,939,033"
,,001,,,,,,,外務本省共通費,,"68,793,739",0,"△ 4,012","△ 4,012","68,789,727"
,,,95,015,2,11,1,05,,退職手当,"4,658,154",0,"△ 4,012","△ 4,012","4,654,142"
,,,95,015,2,12,9,06,,諸謝金外44目,"64,135,585",0,0,0,"64,135,585"
,,002,,,,,,,外務本省施設費,,"889,836",0,0,0,"889,836"
,,003,,,,,,,地域別外交費,,"4,108,287","1,518,901",0,"1,518,901","5,627,188"
,,,95,015,2,12,9,06,,諸謝金,"706,933","974,278",0,"974,278","1,681,211"
,,,95,015,2,12,2,08,,職員旅費,"203,180","17,498",0,"17,498","220,678"
,,,95,015,2,12,5,14,,遺棄化学兵器調査事業等委託費,"412,631","527,125",0,"527,125","939,756"
,,,95,015,2,12,9,06,,政府開発援助諸謝金外18目,"2,785,543",0,0,0,"2,785,543"
,,004,,,,,,,分野別外交費,,"30,289,918",0,"△ 5,754,205","△ 5,754,205","24,535,713"
,,,95,015,2,12,2,08,,金融・世界経済首脳会合開催職員旅費,"219,541",0,"△ 4,504","△ 4,504","215,037"
,,,95,015,2,12,2,08,,金融・世界経済首脳会合開催委員等旅費,"24,814",0,"△ 1,166","△ 1,166","23,648"
,,,95,015,2,12,3,09,,金融・世界経済首脳会合開催庁費,"26,034,671",0,"△ 5,748,535","△ 5,748,535","20,286,136"
,,,95,015,2,12,9,06,,諸謝金外22目,"4,010,892",0,0,0,"4,010,892"
,,005,,,,,,,広報文化交流及報道対策費,,"6,551,308",0,0,0,"6,551,308"
,,006,,,,,,,独立行政法人国際交流基金運営費,,"13,322,192","3,138,414",0,"3,138,414","16,460,606"
,,,95,015,2,30,5,16,,政府開発援助独立行政法人国際交流基金運営費交付金,"7,035,237","1,652,687",0,"1,652,687","8,687,924"
,,,95,015,2,30,5,16,,独立行政法人国際交流基金運営費交付金,"6,286,955","1,485,727",0,"1,485,727","7,772,682"
,,007,,,,,,,領事政策費,,"13,544,036","219,182",0,"219,182","13,763,218"
,,,95,015,2,12,3,09,,渡航事務庁費,"9,023,774","219,182",0,"219,182","9,242,956"
,,,95,015,2,12,9,06,,諸謝金外11目,"4,520,262",0,0,0,"4,520,262"
,,008,,,,,,,経済協力費,,"164,667,009","3,089,517","△ 74,000","3,015,517","167,682,526"
,,,50,015,2,12,5,14,,政府開発援助海外経済協力事業委託費,"758,337",0,"△ 74,000","△ 74,000","684,337"
,,,50,015,2,72,5,16,,政府開発援助経済開発等援助費,"163,100,000","3,089,517",0,"3,089,517","166,189,517"
,,,50,015,2,12,9,06,,政府開発援助諸謝金外10目,"808,672",0,0,0,"808,672"
,,009,,,,,,,独立行政法人国際協力機構運営費,,"150,476,059",0,0,0,"150,476,059"
,,012,,,,,,,独立行政法人国際協力機構施設整備費,,"523,941",0,0,0,"523,941"
,,010,,,,,,,国際分担金其他諸費,,"127,339,587","122,299,324",0,"122,299,324","249,638,911"
,,,50,015,2,72,5,16,,政府開発援助経済協力国際機関分担金,"10,999,391","351,410",0,"351,410","11,350,801"
,,,50,015,2,72,5,16,,経済協力国際機関分担金,"24,925,211","1,600,869",0,"1,600,869","26,526,080"
,,,95,015,2,72,5,16,,政府開発援助国際機関分担金,"6,213,163","2,225,230",0,"2,225,230","8,438,393"
,,,95,015,2,72,5,16,,国際機関分担金,"46,861,294","16,896,844",0,"16,896,844","63,758,138"
,,,50,015,2,72,5,16,,政府開発援助経済協力国際機関等拠出金,"29,978,384","100,106,940",0,"100,106,940","130,085,324"
,,,95,015,2,72,5,16,,国際機関等拠出金,"447,103","1,118,031",0,"1,118,031","1,565,134"
,,,63,015,2,72,5,16,,国際原子力機関分担金外3目,"7,915,041",0,0,0,"7,915,041"
,在外公館,,,,,,,,,,"150,115,659","94,288","△ 771,112","△ 676,824","149,438,835"
,,021,,,,,,,在外公館共通費,,"134,353,955","94,288","△ 771,112","△ 676,824","133,677,131"
,,,95,015,2,11,1,02,,職員基本給,"9,092,517",0,"△ 302,372","△ 302,372","8,790,145"
,,,95,015,2,11,1,02,,政府開発援助職員基本給,"7,232,481",0,"△ 240,534","△ 240,534","6,991,947"
,,,95,015,2,11,1,03,,職員諸手当,"21,666,699",0,"△ 127,106","△ 127,106","21,539,593"
,,,95,015,2,11,1,03,,政府開発援助職員諸手当,"17,234,379",0,"△ 101,100","△ 101,100","17,133,279"
,,,95,015,2,12,3,09,,在外公館連絡庁費,"1,240,782","8,778",0,"8,778","1,249,560"
,,,95,015,2,12,3,09,,政府開発援助在外公館連絡庁費,"986,961","6,982",0,"6,982","993,943"
,,,95,015,2,12,3,09,,車両購入費,"363,119","33,546",0,"33,546","396,665"
,,,95,015,2,12,3,09,,政府開発援助車両購入費,"288,834","26,683",0,"26,683","315,517"
,,,95,015,2,12,3,09,,在外公館設備整備費,"1,656,298","10,192",0,"10,192","1,666,490"
,,,95,015,2,12,3,09,,政府開発援助在外公館設備整備費,"1,317,471","8,107",0,"8,107","1,325,578"
,,,95,015,2,12,9,06,,諸謝金外26目,"73,274,414",0,0,0,"73,274,414"
,,022,,,,,,,在外公館施設費,,"6,645,995",0,0,0,"6,645,995"
,,023,,,,,,,地域別外交費,,"1,068,551",0,0,0,"1,068,551"
,,024,,,,,,,分野別外交費,,"690,918",0,0,0,"690,918"
,,025,,,,,,,広報文化交流及報道対策費,,"1,816,784",0,0,0,"1,816,784"
,,026,,,,,,,領事政策費,,"4,434,797",0,0,0,"4,434,797"
,,027,,,,,,,経済協力費,,"1,104,659",0,0,0,"1,104,659"
財務省,財務本省,,,,,,,,,,"24,601,733,338","84,791,937","△ 1,109,331,057","△ 1,024,539,120","23,577,194,218"
,,001,,,,,,,財務本省共通費,,"161,632,155",0,"△ 95,034,460","△ 95,034,460","66,597,695"
,,,95,016,2,11,1,02,,職員基本給,"9,043,157",0,"△ 19,305","△ 19,305","9,023,852"
,,,95,016,2,11,1,05,,非常勤職員手当,"179,542",0,"△ 1,857","△ 1,857","177,685"
,,,95,016,2,11,1,05,,休職者給与,"63,475",0,"△ 28,929","△ 28,929","34,546"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,"337,466",0,"△ 116,103","△ 116,103","221,363"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"179,093",0,"△ 66,130","△ 66,130","112,963"
,,,95,016,2,11,1,05,,退職手当,"12,477,204",0,"△ 2,401,097","△ 2,401,097","10,076,107"
,,,95,089,2,11,1,05,,児童手当,"129,080",0,"△ 28,965","△ 28,965","100,115"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,150,892",0,"△ 25,000","△ 25,000","2,125,892"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"19,483,469",0,"△ 58,343","△ 58,343","19,425,126"
,,,95,016,2,72,5,16,,関税協力理事会等分担金,"207,333",0,"△ 42,935","△ 42,935","164,398"
,,,95,016,2,95,9,18,,貨幣交換差減補填金,"98,681,808",0,"△ 92,245,796","△ 92,245,796","6,436,012"
,,,95,016,2,12,9,06,,諸謝金外26目,"18,699,636",0,0,0,"18,699,636"
,,002,,,,,,,財務本省施設費,,"228,012",0,0,0,"228,012"
,,003,,,,,,,財政健全化推進費,,"12,730,074",0,△ 14,△ 14,"12,730,060"
,,,95,016,2,11,1,05,,委員手当,236,0,△ 14,△ 14,222
,,,95,016,2,12,9,06,,諸謝金外11目,"12,729,838",0,0,0,"12,729,838"
,,004,,,,,,,税制企画立案費,,"162,533",0,△ 614,△ 614,"161,919"
,,,95,016,2,11,1,05,,非常勤職員手当,"5,561",0,△ 614,△ 614,"4,947"
,,,95,016,2,12,9,06,,諸謝金外3目,"156,972",0,0,0,"156,972"
,,005,,,,,,,資産債務管理費,,"1,559,098",0,"△ 7,693","△ 7,693","1,551,405"
,,,95,016,2,11,1,05,,非常勤職員手当,"30,847",0,"△ 3,304","△ 3,304","27,543"
,,,95,016,2,12,3,09,,情報処理業務庁費,"1,001,497",0,"△ 4,389","△ 4,389","997,108"
,,,95,016,2,12,9,06,,諸謝金外5目,"526,754",0,0,0,"526,754"
,,008,,,,,,,国債費,,"23,508,189,546","73,337","△ 1,002,020,769","△ 1,001,947,432","22,506,242,114"
,,,20,100,1,30,6,22,,出資国債等償還財源国債整理基金特別会計へ繰入,"148,479,780","73,337",0,"73,337","148,553,117"
,,,20,100,2,30,6,22,,普通国債等償還財源等国債整理基金特別会計へ繰入,"23,081,328,042",0,"△ 996,401,606","△ 996,401,606","22,084,926,436"
,,,20,100,2,30,6,22,,年金特例公債償還財源等国債整理基金特別会計へ繰入,"277,433,110",0,"△ 5,619,163","△ 5,619,163","271,813,947"
,,,20,100,2,12,9,06,,諸謝金外4目,"948,614",0,0,0,"948,614"
,,015,,,,,,,産業投資支出財政投融資特別会計へ繰入,,0,"35,000,000",0,"35,000,000","35,000,000"
,,,95,062,1,95,6,22,,産業投資支出財源財政投融資特別会計投資勘定へ繰入,0,"35,000,000",0,"35,000,000","35,000,000"
,,007,,,,,,,公務員宿舎施設費,,"6,995,880",0,0,0,"6,995,880"
,,014,,,,,,,特定国有財産整備費,,"1,030,419",0,0,0,"1,030,419"
,,016,,,,,,,特定国有財産整備諸費,,"61,076",0,0,0,"61,076"
,,009,,,,,,,貨幣製造及信用秩序制度等企画立案費,,"16,019,876",0,0,0,"16,019,876"
,,010,,,,,,,関税制度等企画立案費,,"1,452,732",0,"△ 1,109","△ 1,109","1,451,623"
,,,95,016,2,11,1,05,,委員手当,412,0,△ 59,△ 59,353
,,,95,016,2,11,1,05,,非常勤職員手当,"9,754",0,"△ 1,050","△ 1,050","8,704"
,,,95,016,2,12,9,06,,諸謝金外7目,"1,442,566",0,0,0,"1,442,566"
,,011,,,,,,,経済協力費,,"76,802,128","22,101,600","△ 67,866","22,033,734","98,835,862"
,,,50,015,2,12,9,06,,政府開発援助金融・世界経済首脳会合開催謝金,283,0,△ 283,△ 283,0
,,,50,015,2,12,2,08,,政府開発援助金融・世界経済首脳会合開催職員旅費,"50,334",0,"△ 14,048","△ 14,048","36,286"
,,,50,015,2,12,2,08,,政府開発援助金融・世界経済首脳会合開催委員等旅費,"9,268",0,"△ 9,194","△ 9,194",74
,,,50,015,2,12,3,09,,政府開発援助金融・世界経済首脳会合開催庁費,"465,931",0,"△ 37,303","△ 37,303","428,628"
,,,50,015,2,72,5,16,,政府開発援助アジア開発銀行等拠出金,"28,240,186","1,601,600","△ 7,038","1,594,562","29,834,748"
,,,50,062,1,95,9,24,,政府開発援助独立行政法人国際協力機構有償資金協力部門出資金,"46,810,000","20,500,000",0,"20,500,000","67,310,000"
,,,50,015,2,12,9,06,,政府開発援助諸謝金外7目,"1,226,126",0,0,0,"1,226,126"
,,012,,,,,,,政策金融費,,"61,666,635","27,617,000","△ 2,740","27,614,260","89,280,895"
,,,95,062,2,40,5,16,,危機対応円滑化業務補助金,"79,695",0,"△ 2,740","△ 2,740","76,955"
,,,60,062,1,95,9,24,,株式会社日本政策金融公庫出資金,"46,000,000","27,617,000",0,"27,617,000","73,617,000"
,,,60,062,2,40,5,16,,株式会社日本政策金融公庫補給金外1目,"15,586,940",0,0,0,"15,586,940"
,,013,,,,,,,国家公務員共済組合連合会等助成費,,"68,391,819",0,"△ 52,201","△ 52,201","68,339,618"
,,,95,081,2,71,5,16,,国家公務員共済組合連合会補助金,"1,720,611",0,"△ 36,827","△ 36,827","1,683,784"
,,,95,081,2,60,5,16,,旧令共済組合年金等交付金,"1,292,289",0,"△ 15,374","△ 15,374","1,276,915"
,,,06,081,2,71,5,16,,日本郵政共済組合等補助金外3目,"65,378,919",0,0,0,"65,378,919"
,,064,,,,,,,復興事業費等東日本大震災復興特別会計へ繰入,,"184,811,355",0,"△ 12,143,591","△ 12,143,591","172,667,764"
,,,95,199,2,30,6,22,,東日本大震災復興特別会計へ繰入,"184,811,355",0,"△ 12,143,591","△ 12,143,591","172,667,764"
,,019,,,,,,,予備費,,"500,000,000",0,0,0,"500,000,000"
,財務局,,,,,,,,,,"60,610,941",0,"△ 624,255","△ 624,255","59,986,686"
